"","Std Sample Name","GSM ID","Primary Name","Study","Number of Read Pairs","Bio-rep","Pulldown or HiC","Restriction Enzyme","Cell Name","Cell Type","Organ","Biomaterial","Disease","5kb FC Loops (Unfiltered)","10kb FC Loops (Unfiltered)","25kb FC Loops (Unfiltered)","5kb FC Loops (Filtered)","10kb FC Loops (Filtered)","25kb FC Loops (Filtered)","5kb FH Loops (Unfiltered)","10kb FH Loops (Unfiltered)","25kb FH Loops (Unfiltered)","5kb FH Loops (Filtered)","10kb FH Loops (Filtered)","25kb FH Loops (Filtered)","5kb HiCCUPs Loops","10kb HiCCUPs Loops","25kb HiCCUPs Loops","1kb HiC Loops","5kb HiC Loops","5kb FC Longrange (Unfiltered)","10kb FC Longrange (Unfiltered)","25kb FC Longrange (Unfiltered)","5kb FC Longrange (Filtered)","10kb FC Longrange (Filtered)","25kb FC Longrange (Filtered)","5kb FH Longrange (Unfiltered)","10kb FH Longrange (Unfiltered)","25kb FH Longrange (Unfiltered)","5kb FH Longrange (Filtered)","10kb FH Longrange (Filtered)","25kb FH Longrange (Filtered)","5kb HiCCUPs Longrange","10kb HiCCUPs Longrange","25kb HiCCUPs Longrange","1kb HiC Longrange","5kb HiC Longrange","CP Peak Number","FH Peak Number","CP Peak BigBed","FH Peak BigBed","UUID","5kb FC QC Status (Unfiltered)","10kb FC QC Status (Unfiltered)","25kb FC QC Status (Unfiltered)","5kb FC QC Status (Filtered)","10kb FC QC Status (Filtered)","25kb FC QC Status (Filtered)","5kb FH QC Status (Unfiltered)","10kb FH QC Status (Unfiltered)","25kb FH QC Status (Unfiltered)","5kb FH QC Status (Filtered)","10kb FH QC Status (Filtered)","25kb FH QC Status (Filtered)","5kb HiCCUPs QC Status","10kb HiCCUPs QC Status","25kb HiCCUPs QC Status"
"","WTC-11","4DNESPDEZNWX","WTC-11 (raw)","Job Dekker, UMMS","1,308,371,633","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9771","68010","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI5LCW273.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI5LCW273.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","7d79a544-23b2-4d57-bb58-3df4b01971b5","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","WTC-11","4DNESPDEZNWX","WTC-11 (kr)","Job Dekker, UMMS","1,308,371,633","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","480","27798","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI5LCW273.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI5LCW273.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","7d79a544-23b2-4d57-bb58-3df4b01971b5","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","WTC-11","4DNESPDEZNWX","WTC-11 (vc)","Job Dekker, UMMS","1,308,371,633","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","148","31629","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI5LCW273.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI5LCW273.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","7d79a544-23b2-4d57-bb58-3df4b01971b5","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","HFFc6","4DNESWST3UBH","HFFc6 (raw)","Job Dekker, UMMS","5,855,237,950","N/A","Hi-C","MNase","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","380506","122823","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIPC7P27B.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIPC7P27B.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","bf5836bb-2062-4102-8ca4-e5913404528e","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","HFFc6","4DNESWST3UBH","HFFc6 (kr)","Job Dekker, UMMS","5,855,237,950","N/A","Hi-C","MNase","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","169154","92352","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIPC7P27B.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIPC7P27B.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","bf5836bb-2062-4102-8ca4-e5913404528e","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","HFFc6","4DNESWST3UBH","HFFc6 (vc)","Job Dekker, UMMS","5,855,237,950","N/A","Hi-C","MNase","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","139382","120114","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIPC7P27B.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIPC7P27B.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","bf5836bb-2062-4102-8ca4-e5913404528e","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","CyT49","4DNESSSDVO27","CyT49 (raw)","Bing Ren, UCSD","2,533,784,173","N/A","Hi-C","MboI","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","200285","148604","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIKYXMF1E.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIKYXMF1E.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","d7914b87-3906-4274-b601-b8b375c9b679","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","CyT49","4DNESSSDVO27","CyT49 (kr)","Bing Ren, UCSD","2,533,784,173","N/A","Hi-C","MboI","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","48802","42569","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIKYXMF1E.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIKYXMF1E.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","d7914b87-3906-4274-b601-b8b375c9b679","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","CyT49","4DNESSSDVO27","CyT49 (vc)","Bing Ren, UCSD","2,533,784,173","N/A","Hi-C","MboI","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","31571","51358","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIKYXMF1E.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIKYXMF1E.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","d7914b87-3906-4274-b601-b8b375c9b679","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","HeLa-S3","4DNESCMX7L58","HeLa-S3 (raw)","Job Dekker, UMMS","2,261,834,905","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","108590","99543","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFICEGAHRC.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFICEGAHRC.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","9ff89667-1a6b-49ca-ad7d-ebc64265075a","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","HeLa-S3","4DNESCMX7L58","HeLa-S3 (kr)","Job Dekker, UMMS","2,261,834,905","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","29394","65714","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFICEGAHRC.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFICEGAHRC.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","9ff89667-1a6b-49ca-ad7d-ebc64265075a","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","HeLa-S3","4DNESCMX7L58","HeLa-S3 (vc)","Job Dekker, UMMS","2,261,834,905","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16813","73317","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFICEGAHRC.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFICEGAHRC.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","9ff89667-1a6b-49ca-ad7d-ebc64265075a","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H1-hESC","4DNES2M5JIGV","H1-hESC (raw)","Job Dekker, UMMS","2,525,323,776","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34630","128693","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIQYQWPF5.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIQYQWPF5.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","7245fcd3-3b8e-4523-a3d0-3f9544712156","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H1-hESC","4DNES2M5JIGV","H1-hESC (kr)","Job Dekker, UMMS","2,525,323,776","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2835","36602","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIQYQWPF5.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIQYQWPF5.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","7245fcd3-3b8e-4523-a3d0-3f9544712156","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H1-hESC","4DNES2M5JIGV","H1-hESC (vc)","Job Dekker, UMMS","2,525,323,776","N/A","Hi-C","DpnII","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1420","43214","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIQYQWPF5.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIQYQWPF5.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","7245fcd3-3b8e-4523-a3d0-3f9544712156","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H9","4DNESMU2MA2G","H9 (raw)","Bing Ren, UCSD","2,315,919,890","N/A","Hi-C","MboI","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","153863","152333","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIEJEFCAM.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIEJEFCAM.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","a36be9b0-09b3-44ae-8d9f-438ee18cfbae","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H9","4DNESMU2MA2G","H9 (kr)","Bing Ren, UCSD","2,315,919,890","N/A","Hi-C","MboI","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","32908","51972","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIEJEFCAM.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIEJEFCAM.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","a36be9b0-09b3-44ae-8d9f-438ee18cfbae","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H9","4DNESMU2MA2G","H9 (vc)","Bing Ren, UCSD","2,315,919,890","N/A","Hi-C","MboI","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","22536","58759","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIEJEFCAM.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFIEJEFCAM.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","a36be9b0-09b3-44ae-8d9f-438ee18cfbae","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H1-hESC","4DNES21D8SP8","H1-hESC (raw)","Job Dekker, UMMS","3,220,503,431","N/A","Hi-C","MNase","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","312823","132460","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI2TK7L2F.1000.raw.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI2TK7L2F.5000.raw.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","9fb572d8-1bc3-4d29-8bee-6f0c47dca8be","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H1-hESC","4DNES21D8SP8","H1-hESC (kr)","Job Dekker, UMMS","3,220,503,431","N/A","Hi-C","MNase","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","79956","83621","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI2TK7L2F.1000.kr.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI2TK7L2F.5000.kr.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","9fb572d8-1bc3-4d29-8bee-6f0c47dca8be","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
"","H1-hESC","4DNES21D8SP8","H1-hESC (vc)","Job Dekker, UMMS","3,220,503,431","N/A","Hi-C","MNase","Currently Unavailable","Currently Unavailable","Undetermined","Under Review","Currently Unavailable","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","64371","102609","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI2TK7L2F.1000.vc.longrange.bed.gz","https://loopcatalog.lji.org/storage2/release-0.1/hub/hg38/loops/hic/mustache/4DNFI2TK7L2F.5000.vc.longrange.bed.gz","-1","-1","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","9fb572d8-1bc3-4d29-8bee-6f0c47dca8be","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","Debug-Within-Javascript-Probably","N/A","N/A","N/A"
